"addresscountryname","city_actual","rating_reviewcount","center1distance","center1label","center2distance","center2label","neighbourhood","price","price_night","s_city","starrating","rating2_ta","rating2_ta_reviewcount","accommodationtype","guestreviewsrating","scarce_room","hotel_id","offer","offer_cat","year","month","weekend","holiday"
"Austria","Vienna",36,"2.7 miles","City centre","4.4 miles","Donauturm","17. Hernals",81,"price for 1 night","Vienna",4,4.5,216,"_ACCOM_TYPE@Apartment","4.4 /5",1,21894,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",189,"1.7 miles","City centre","3.8 miles","Donauturm","17. Hernals",81,"price for 1 night","Vienna",4,3.5,708,"_ACCOM_TYPE@Hotel","3.9 /5",0,21897,1,"1-15% offer",2017,11,0,0
"Austria","Vienna",53,"1.4 miles","City centre","2.5 miles","Donauturm","Alsergrund",85,"price for 1 night","Vienna",4,3.5,629,"_ACCOM_TYPE@Hotel","3.7 /5",0,21901,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",55,"1.7 miles","City centre","2.5 miles","Donauturm","Alsergrund",83,"price for 1 night","Vienna",3,4,52,"_ACCOM_TYPE@Hotel","4 /5",0,21902,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",33,"1.2 miles","City centre","2.8 miles","Donauturm","Alsergrund",82,"price for 1 night","Vienna",4,3.5,219,"_ACCOM_TYPE@Hotel","3.9 /5",1,21903,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",25,"0.9 miles","City centre","3.0 miles","Donauturm","Alsergrund",229,"price for 1 night","Vienna",5,4.5,27,"_ACCOM_TYPE@Apartment","4.8 /5",1,21904,1,"1-15% offer",2017,11,0,0
"Austria","Vienna",57,"0.9 miles","City centre","2.4 miles","Donauturm","Alsergrund",103,"price for 1 night","Vienna",4,3.5,251,"_ACCOM_TYPE@Hotel","3.9 /5",1,21906,0,"0% no offer",2017,11,0,0
"Austria","Vienna",161,"1.0 mile","City centre","2.7 miles","Donauturm","Alsergrund",150,"price for 1 night","Vienna",4,4.5,617,"_ACCOM_TYPE@Hotel","4.6 /5",0,21907,0,"0% no offer",2017,11,0,0
"Austria","Vienna",50,"0.7 miles","City centre","2.7 miles","Donauturm","Alsergrund",80,"price for 1 night","Vienna",2,3.5,146,"_ACCOM_TYPE@Hotel","3.5 /5",1,21908,1,"1-15% offer",2017,11,0,0
"Austria","Vienna",NA,"1.5 miles","City centre","2.7 miles","Donauturm","Alsergrund",153,"price for 1 night","Vienna",3,NA,NA,"_ACCOM_TYPE@Apartment",NA,1,21910,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",203,"1.1 miles","City centre","2.7 miles","Donauturm","Alsergrund",60,"price for 1 night","Vienna",4,4,359,"_ACCOM_TYPE@Hotel","4.1 /5",1,21912,1,"1-15% offer",2017,11,0,0
"Austria","Vienna",251,"0.8 miles","City centre","2.9 miles","Donauturm","Alsergrund",128,"price for 1 night","Vienna",4,4,829,"_ACCOM_TYPE@Hotel","4 /5",0,21913,0,"0% no offer",2017,11,0,0
"Austria","Vienna",142,"1.0 mile","City centre","2.3 miles","Donauturm","Alsergrund",100,"price for 1 night","Vienna",4,4,55,"_ACCOM_TYPE@Apartment","4.5 /5",1,21914,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",8,"1.2 miles","City centre","2.3 miles","Donauturm","Alsergrund",143,"price for 1 night","Vienna",2,NA,NA,"_ACCOM_TYPE@Apartment","3.7 /5",1,21915,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",NA,"0.7 miles","City centre","2.6 miles","Donauturm","Alsergrund",106,"price for 1 night","Vienna",2.5,2,74,"_ACCOM_TYPE@Hotel",NA,1,21916,0,"0% no offer",2017,11,0,0
"Austria","Vienna",18,"1.7 miles","City centre","2.6 miles","Donauturm","Alsergrund",85,"price for 1 night","Vienna",4,4,62,"_ACCOM_TYPE@Hotel","4.1 /5",0,21917,1,"1-15% offer",2017,11,0,0
"Austria","Vienna",20,"0.9 miles","City centre","2.8 miles","Donauturm","Alsergrund",77,"price for 1 night","Vienna",3,3.5,97,"_ACCOM_TYPE@Hotel","3.7 /5",0,21918,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",77,"0.8 miles","City centre","2.8 miles","Donauturm","Alsergrund",78,"price for 1 night","Vienna",3,3.5,120,"_ACCOM_TYPE@Hotel","3.9 /5",1,21919,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",76,"0.9 miles","City centre","2.8 miles","Donauturm","Alsergrund",78,"price for 1 night","Vienna",3,3.5,161,"_ACCOM_TYPE@Hotel","4 /5",1,21920,0,"0% no offer",2017,11,0,0
"Austria","Vienna",NA,"3.4 miles","City centre","0.6 miles","Donauturm","Donaustadt",260,"price for 1 night","Vienna",3.5,5,2,"_ACCOM_TYPE@Apartment",NA,1,21921,0,"0% no offer",2017,11,0,0
"Austria","Vienna",5,"3.4 miles","City centre","0.6 miles","Donauturm","Donaustadt",158,"price for 1 night","Vienna",3,4.5,72,"_ACCOM_TYPE@Apartment","4.8 /5",1,21922,0,"0% no offer",2017,11,0,0
"Austria","Vienna",77,"4.2 miles","City centre","1.5 miles","Donauturm","Donaustadt",77,"price for 1 night","Vienna",3,4,158,"_ACCOM_TYPE@Hotel","3.9 /5",1,21924,0,"0% no offer",2017,11,0,0
"Austria","Vienna",193,"3.9 miles","City centre","1.9 miles","Donauturm","Donaustadt",77,"price for 1 night","Vienna",3,3,91,"_ACCOM_TYPE@Hotel","2.7 /5",0,21925,1,"50%-75% offer",2017,11,0,0
"Austria","Vienna",94,"3.6 miles","City centre","1.2 miles","Donauturm","Donaustadt",95,"price for 1 night","Vienna",4,4,228,"_ACCOM_TYPE@Hotel","4.3 /5",0,21926,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",1,"3.8 miles","City centre","1.2 miles","Donauturm","Donaustadt",156,"price for 1 night","Vienna",3,NA,NA,"_ACCOM_TYPE@Apartment","3 /5",1,21927,0,"0% no offer",2017,11,0,0
"Austria","Vienna",5,"3.5 miles","City centre","0.8 miles","Donauturm","Donaustadt",145,"price for 1 night","Vienna",3,4.5,205,"_ACCOM_TYPE@Bed and breakfast","3.5 /5",1,21928,0,"0% no offer",2017,11,0,0
"Austria","Vienna",178,"2.9 miles","City centre","0.6 miles","Donauturm","Donaustadt",208,"price for 1 night","Vienna",4,4,1085,"_ACCOM_TYPE@Hotel","4.1 /5",1,21930,0,"0% no offer",2017,11,0,0
"Austria","Vienna",330,"3.4 miles","City centre","0.9 miles","Donauturm","Donaustadt",87,"price for 1 night","Vienna",3,3.5,423,"_ACCOM_TYPE@Hotel","3.7 /5",1,21933,0,"0% no offer",2017,11,0,0
"Austria","Vienna",6,"2.3 miles","City centre","4.9 miles","Donauturm","Favoriten",131,"price for 1 night","Vienna",2,NA,NA,"_ACCOM_TYPE@Apartment","3.5 /5",1,21934,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",194,"2.0 miles","City centre","4.5 miles","Donauturm","Favoriten",54,"price for 1 night","Vienna",3,4,522,"_ACCOM_TYPE@Hotel","3.5 /5",0,21935,1,"50%-75% offer",2017,11,0,0
"Austria","Vienna",9,"2.4 miles","City centre","5.0 miles","Donauturm","Favoriten",139,"price for 1 night","Vienna",2,3,17,"_ACCOM_TYPE@Apartment","3 /5",1,21936,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",3,"2.8 miles","City centre","5.3 miles","Donauturm","Favoriten",184,"price for 1 night","Vienna",2,NA,NA,"_ACCOM_TYPE@Apartment","3.2 /5",1,21937,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",1,"2.9 miles","City centre","5.2 miles","Donauturm","Favoriten",127,"price for 1 night","Vienna",3,NA,NA,"_ACCOM_TYPE@Apartment","1 /5",1,21938,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",NA,"2.5 miles","City centre","5.1 miles","Donauturm","Favoriten",95,"price for 1 night","Vienna",3,NA,NA,"_ACCOM_TYPE@Apartment",NA,1,21939,0,"0% no offer",2017,11,0,0
"Austria","Vienna",441,"1.7 miles","City centre","4.2 miles","Donauturm","Favoriten",99,"price for 1 night","Vienna",3.5,4.5,630,"_ACCOM_TYPE@Hotel","4.4 /5",0,21940,0,"0% no offer",2017,11,0,0
"Austria","Vienna",1122,"1.7 miles","City centre","4.1 miles","Donauturm","Favoriten",75,"price for 1 night","Vienna",3.5,4.5,573,"_ACCOM_TYPE@Hotel","4.4 /5",0,21941,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",362,"2.1 miles","City centre","4.6 miles","Donauturm","Favoriten",76,"price for 1 night","Vienna",3,4,269,"_ACCOM_TYPE@Hotel","4.4 /5",0,21943,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",2,"2.5 miles","City centre","5.1 miles","Donauturm","Favoriten",130,"price for 1 night","Vienna",2,NA,NA,"_ACCOM_TYPE@Apartment","3 /5",1,21945,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",525,"1.9 miles","City centre","4.2 miles","Donauturm","Favoriten",91,"price for 1 night","Vienna",4,4.5,741,"_ACCOM_TYPE@Hotel","4.5 /5",0,21946,0,"0% no offer",2017,11,0,0
"Austria","Vienna",1,"2.4 miles","City centre","5.0 miles","Donauturm","Favoriten",135,"price for 1 night","Vienna",2,NA,NA,"_ACCOM_TYPE@Apartment","3 /5",1,21947,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",113,"2.0 miles","City centre","4.5 miles","Donauturm","Favoriten",56,"price for 1 night","Vienna",2,3,183,"_ACCOM_TYPE@Hotel","2 /5",1,21948,0,"0% no offer",2017,11,0,0
"Austria","Vienna",71,"2.7 miles","City centre","5.1 miles","Donauturm","Favoriten",27,"price for 1 night","Vienna",2,3.5,216,"_ACCOM_TYPE@Hostel","3.7 /5",1,21949,0,"0% no offer",2017,11,0,0
"Austria","Vienna",1,"2.3 miles","City centre","4.6 miles","Donauturm","Favoriten",88,"price for 1 night","Vienna",3,NA,NA,"_ACCOM_TYPE@Apartment","3 /5",1,21950,1,"1-15% offer",2017,11,0,0
"Austria","Vienna",22,"2.5 miles","City centre","4.8 miles","Donauturm","Favoriten",133,"price for 1 night","Vienna",2,NA,NA,"_ACCOM_TYPE@Apartment","3.5 /5",1,21951,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",366,"1.8 miles","City centre","4.3 miles","Donauturm","Favoriten",33,"price for 1 night","Vienna",2,3.5,491,"_ACCOM_TYPE@Hotel","3.4 /5",0,21956,0,"0% no offer",2017,11,0,0
"Austria","Vienna",NA,"2.0 miles","City centre","4.4 miles","Donauturm","Favoriten",116,"price for 1 night","Vienna",3.5,NA,NA,"_ACCOM_TYPE@Apartment",NA,0,21958,0,"0% no offer",2017,11,0,0
"Austria","Vienna",821,"1.7 miles","City centre","4.2 miles","Donauturm","Favoriten",71,"price for 1 night","Vienna",4,4,31,"_ACCOM_TYPE@Hotel","4 /5",0,21959,1,"1-15% offer",2017,11,0,0
"Austria","Vienna",16,"2.7 miles","City centre","5.3 miles","Donauturm","Favoriten",90,"price for 1 night","Vienna",3.5,NA,NA,"_ACCOM_TYPE@Apartment","3.5 /5",1,21960,1,"1-15% offer",2017,11,0,0
"Austria","Vienna",23,"1.9 miles","City centre","4.3 miles","Donauturm","Favoriten",84,"price for 1 night","Vienna",4,NA,NA,"_ACCOM_TYPE@Apartment","4.1 /5",1,21962,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",38,"2.3 miles","City centre","4.7 miles","Donauturm","Favoriten",63,"price for 1 night","Vienna",3,NA,NA,"_ACCOM_TYPE@Guest House","4.3 /5",0,21963,1,"15-50% offer",2017,11,0,0
"Austria","Fischamend",366,"13 miles","City centre","13 miles","Donauturm","Fischamend",59,"price for 1 night","Vienna",3,2.5,243,"_ACCOM_TYPE@Hotel","3 /5",0,21964,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",77,"0.2 miles","City centre","2.9 miles","Donauturm","Graben",113,"price for 1 night","Vienna",3,4,259,"_ACCOM_TYPE@Hotel","4.4 /5",0,21965,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",27,"0.1 miles","City centre","2.9 miles","Donauturm","Graben",218,"price for 1 night","Vienna",4.5,NA,NA,"_ACCOM_TYPE@Apartment","4.1 /5",1,21966,1,"1-15% offer",2017,11,0,0
"Austria","Vienna",144,"0.1 miles","City centre","2.8 miles","Donauturm","Graben",299,"price for 1 night","Vienna",5,4.5,702,"_ACCOM_TYPE@Hotel","4.5 /5",1,21967,1,"50%-75% offer",2017,11,0,0
"Austria","Vienna",184,"0.3 miles","City centre","2.6 miles","Donauturm","Innere Stadt",156,"price for 1 night","Vienna",3,4.5,1347,"_ACCOM_TYPE@Hotel","4.5 /5",1,21968,1,"1-15% offer",2017,11,0,0
"Austria","Vienna",78,"0.3 miles","City centre","2.8 miles","Donauturm","Innere Stadt",513,"price for 1 night","Vienna",5,5,1126,"_ACCOM_TYPE@Hotel","4.8 /5",1,21969,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",319,"0.3 miles","City centre","2.6 miles","Donauturm","Innere Stadt",133,"price for 1 night","Vienna",4,4,466,"_ACCOM_TYPE@Hotel","4.3 /5",1,21970,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",73,"0.5 miles","City centre","3.1 miles","Donauturm","Innere Stadt",123,"price for 1 night","Vienna",4,3.5,47,"_ACCOM_TYPE@Hotel","4.1 /5",1,21971,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",81,"0.3 miles","City centre","3.0 miles","Donauturm","Innere Stadt",219,"price for 1 night","Vienna",4,4.5,392,"_ACCOM_TYPE@Hotel","4.5 /5",1,21972,1,"1-15% offer",2017,11,0,0
"Austria","Vienna",271,"0.3 miles","City centre","3.0 miles","Donauturm","Innere Stadt",152,"price for 1 night","Vienna",4,4,261,"_ACCOM_TYPE@Hotel","4.3 /5",0,21973,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",211,"0.1 miles","City centre","2.7 miles","Donauturm","Innere Stadt",115,"price for 1 night","Vienna",4,4.5,211,"_ACCOM_TYPE@Hotel","4.3 /5",1,21975,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",5,"0.3 miles","City centre","2.8 miles","Donauturm","Innere Stadt",806,"price for 1 night","Vienna",5,4.5,114,"_ACCOM_TYPE@Hotel","4.5 /5",0,21976,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",316,"0.2 miles","City centre","2.6 miles","Donauturm","Innere Stadt",138,"price for 1 night","Vienna",4,4.5,463,"_ACCOM_TYPE@Hotel","4.5 /5",0,21977,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",28,"0.4 miles","City centre","2.5 miles","Donauturm","Innere Stadt",95,"price for 1 night","Vienna",3,NA,NA,"_ACCOM_TYPE@Apartment","3.7 /5",1,21979,0,"0% no offer",2017,11,0,0
"Austria","Vienna",336,"0.1 miles","City centre","2.9 miles","Donauturm","Innere Stadt",146,"price for 1 night","Vienna",4,4,714,"_ACCOM_TYPE@Hotel","4.4 /5",0,21980,0,"0% no offer",2017,11,0,0
"Austria","Vienna",83,"0.7 miles","City centre","3.1 miles","Donauturm","Innere Stadt",103,"price for 1 night","Vienna",3,4,159,"_ACCOM_TYPE@Pension","4 /5",0,21981,0,"0% no offer",2017,11,0,0
"Austria","Vienna",NA,"0.5 miles","City centre","3.3 miles","Donauturm","Innere Stadt",125,"price for 1 night","Vienna",3.5,NA,NA,"_ACCOM_TYPE@Apartment",NA,1,21983,0,"0% no offer",2017,11,0,0
"Austria","Vienna",88,"0.5 miles","City centre","2.6 miles","Donauturm","Innere Stadt",98,"price for 1 night","Vienna",3,3.5,66,"_ACCOM_TYPE@Hotel","3.7 /5",1,21984,0,"0% no offer",2017,11,0,0
"Austria","Vienna",140,"0.3 miles","City centre","2.5 miles","Donauturm","Innere Stadt",121,"price for 1 night","Vienna",3.5,4.5,557,"_ACCOM_TYPE@Hotel","4.5 /5",1,21985,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",391,"0.2 miles","City centre","2.6 miles","Donauturm","Innere Stadt",149,"price for 1 night","Vienna",4,4,1516,"_ACCOM_TYPE@Hotel","4 /5",0,21986,1,"1-15% offer",2017,11,0,0
"Austria","Vienna",320,"0.3 miles","City centre","2.5 miles","Donauturm","Innere Stadt",120,"price for 1 night","Vienna",3,3.5,515,"_ACCOM_TYPE@Hotel","3.9 /5",0,21987,1,"1-15% offer",2017,11,0,0
"Austria","Vienna",21,"0.4 miles","City centre","2.9 miles","Donauturm","Innere Stadt",157,"price for 1 night","Vienna",3,4.5,146,"_ACCOM_TYPE@Hotel","4.4 /5",1,21988,1,"1-15% offer",2017,11,0,0
"Austria","Vienna",193,"0.3 miles","City centre","3.1 miles","Donauturm","Innere Stadt",261,"price for 1 night","Vienna",5,5,945,"_ACCOM_TYPE@Hotel","4.8 /5",1,21989,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",75,"0.7 miles","City centre","3.4 miles","Donauturm","Innere Stadt",145,"price for 1 night","Vienna",3.5,4,48,"_ACCOM_TYPE@Apartment","4.1 /5",1,21990,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",35,"0.2 miles","City centre","2.6 miles","Donauturm","Innere Stadt",275,"price for 1 night","Vienna",4,4,16,"_ACCOM_TYPE@Apartment","4.3 /5",1,21991,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",NA,"0.2 miles","City centre","2.9 miles","Donauturm","Innere Stadt",253,"price for 1 night","Vienna",3.5,NA,NA,"_ACCOM_TYPE@Apartment",NA,1,21992,0,"0% no offer",2017,11,0,0
"Austria","Vienna",NA,"0.2 miles","City centre","2.9 miles","Donauturm","Innere Stadt",209,"price for 1 night","Vienna",4,NA,NA,"_ACCOM_TYPE@Apartment",NA,1,21993,0,"0% no offer",2017,11,0,0
"Austria","Vienna",505,"0.2 miles","City centre","2.9 miles","Donauturm","Innere Stadt",112,"price for 1 night","Vienna",4,4,607,"_ACCOM_TYPE@Hotel","4 /5",0,21995,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",386,"0.3 miles","City centre","2.5 miles","Donauturm","Innere Stadt",138,"price for 1 night","Vienna",4,4,273,"_ACCOM_TYPE@Hotel","4.3 /5",0,21996,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",109,"0.4 miles","City centre","2.6 miles","Donauturm","Innere Stadt",84,"price for 1 night","Vienna",3,4,171,"_ACCOM_TYPE@Pension","4 /5",1,21997,1,"1-15% offer",2017,11,0,0
"Austria","Vienna",626,"0.3 miles","City centre","2.9 miles","Donauturm","Innere Stadt",199,"price for 1 night","Vienna",4.5,4.5,3171,"_ACCOM_TYPE@Hotel","4.5 /5",0,21998,1,"50%-75% offer",2017,11,0,0
"Austria","Vienna",334,"0.3 miles","City centre","2.9 miles","Donauturm","Innere Stadt",203,"price for 1 night","Vienna",5,4.5,917,"_ACCOM_TYPE@Hotel","4.4 /5",0,21999,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",NA,"0.2 miles","City centre","2.7 miles","Donauturm","Innere Stadt",116,"price for 1 night","Vienna",3,3,4,"_ACCOM_TYPE@Vacation home Condo",NA,1,22001,0,"0% no offer",2017,11,0,0
"Austria","Vienna",NA,"0.2 miles","City centre","2.7 miles","Donauturm","Innere Stadt",107,"price for 1 night","Vienna",3.5,NA,NA,"_ACCOM_TYPE@Apartment",NA,1,22002,0,"0% no offer",2017,11,0,0
"Austria","Vienna",NA,"0.2 miles","City centre","2.7 miles","Donauturm","Innere Stadt",127,"price for 1 night","Vienna",3.5,NA,NA,"_ACCOM_TYPE@Apartment",NA,1,22003,0,"0% no offer",2017,11,0,0
"Austria","Vienna",NA,"0.2 miles","City centre","2.7 miles","Donauturm","Innere Stadt",104,"price for 1 night","Vienna",3.5,NA,NA,"_ACCOM_TYPE@Apartment",NA,1,22004,0,"0% no offer",2017,11,0,0
"Austria","Vienna",11,"0.2 miles","City centre","2.6 miles","Donauturm","Innere Stadt",168,"price for 1 night","Vienna",3.5,3.5,4,"_ACCOM_TYPE@Apartment","4 /5",1,22005,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",150,"0.5 miles","City centre","3.2 miles","Donauturm","Innere Stadt",544,"price for 1 night","Vienna",5,4.5,1178,"_ACCOM_TYPE@Hotel","4.8 /5",0,22006,0,"0% no offer",2017,11,0,0
"Austria","Vienna",531,"0.5 miles","City centre","3.2 miles","Donauturm","Innere Stadt",252,"price for 1 night","Vienna",5,4.5,1050,"_ACCOM_TYPE@Hotel","4.6 /5",0,22007,1,"1-15% offer",2017,11,0,0
"Austria","Vienna",253,"0.5 miles","City centre","3.2 miles","Donauturm","Innere Stadt",323,"price for 1 night","Vienna",5,4.5,1168,"_ACCOM_TYPE@Hotel","4.5 /5",0,22008,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",47,"0.3 miles","City centre","3.1 miles","Donauturm","Innere Stadt",158,"price for 1 night","Vienna",3,4,232,"_ACCOM_TYPE@Hotel","4.3 /5",1,22009,0,"0% no offer",2017,11,0,0
"Austria","Vienna",19,"0.2 miles","City centre","2.7 miles","Donauturm","Innere Stadt",156,"price for 1 night","Vienna",3.5,NA,NA,"_ACCOM_TYPE@Apartment","4 /5",1,22010,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",124,"0.2 miles","City centre","2.6 miles","Donauturm","Innere Stadt",218,"price for 1 night","Vienna",4,5,1112,"_ACCOM_TYPE@Hotel","4.6 /5",1,22011,1,"50%-75% offer",2017,11,0,0
"Austria","Vienna",115,"0.1 miles","City centre","2.7 miles","Donauturm","Innere Stadt",218,"price for 1 night","Vienna",4,4.5,475,"_ACCOM_TYPE@Hotel","4.5 /5",0,22012,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",110,"0.3 miles","City centre","2.6 miles","Donauturm","Innere Stadt",135,"price for 1 night","Vienna",3,3.5,162,"_ACCOM_TYPE@Hotel","3.9 /5",0,22013,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",16,"0.6 miles","City centre","2.6 miles","Donauturm","Innere Stadt",219,"price for 1 night","Vienna",2,NA,NA,"_ACCOM_TYPE@Apartment","4 /5",1,22014,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",467,"0.5 miles","City centre","3.3 miles","Donauturm","Innere Stadt",179,"price for 1 night","Vienna",4,4.5,423,"_ACCOM_TYPE@Hotel","4.4 /5",1,22016,0,"0% no offer",2017,11,0,0
"Austria","Vienna",NA,"0.5 miles","City centre","3.3 miles","Donauturm","Innere Stadt",511,"price for 1 night","Vienna",3.5,NA,NA,"_ACCOM_TYPE@Apartment",NA,1,22017,1,"1-15% offer",2017,11,0,0
"Austria","Vienna",650,"0.7 miles","City centre","3.5 miles","Donauturm","Innere Stadt",157,"price for 1 night","Vienna",4,4.5,1380,"_ACCOM_TYPE@Hotel","4.5 /5",0,22018,1,"1-15% offer",2017,11,0,0
"Austria","Vienna",95,"0.3 miles","City centre","2.8 miles","Donauturm","Innere Stadt",146,"price for 1 night","Vienna",4,4.5,770,"_ACCOM_TYPE@Hotel","4.5 /5",1,22019,0,"0% no offer",2017,11,0,0
"Austria","Vienna",564,"0.4 miles","City centre","2.9 miles","Donauturm","Innere Stadt",200,"price for 1 night","Vienna",5,4,1850,"_ACCOM_TYPE@Hotel","4.3 /5",0,22020,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",168,"0.1 miles","City centre","2.8 miles","Donauturm","Innere Stadt",157,"price for 1 night","Vienna",4,4,392,"_ACCOM_TYPE@Hotel","4.1 /5",1,22021,0,"0% no offer",2017,11,0,0
"Austria","Vienna",NA,"0.3 miles","City centre","2.6 miles","Donauturm","Innere Stadt",138,"price for 1 night","Vienna",4,NA,NA,"_ACCOM_TYPE@Apartment",NA,1,22022,0,"0% no offer",2017,11,0,0
"Austria","Vienna",175,"0.3 miles","City centre","2.5 miles","Donauturm","Innere Stadt",108,"price for 1 night","Vienna",3,3.5,234,"_ACCOM_TYPE@Hotel","3.5 /5",1,22023,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",NA,"0.2 miles","City centre","2.6 miles","Donauturm","Innere Stadt",290,"price for 1 night","Vienna",3.5,NA,NA,"_ACCOM_TYPE@Apartment",NA,1,22025,0,"0% no offer",2017,11,0,0
"Austria","Vienna",426,"0.8 miles","City centre","3.1 miles","Donauturm","Innere Stadt",127,"price for 1 night","Vienna",4,4,840,"_ACCOM_TYPE@Hotel","4 /5",0,22026,1,"15-50% offer",2017,11,0,0
